15	20083741	20083983	37463
15	20084060	20084290	53344
15	20086385	20086627	23010
15	20087477	20087718	60262
15	20090202	20090346	8676
15	20092964	20093085	16601
15	20169885	20170246	83233
15	20170270	20170391	26666
15	20178006	20178127	25477
15	20178387	20178508	33214
15	20217932	20218053	35949
15	20278993	20279384	138136
15	20315921	20316042	23857
15	20316678	20316888	59803
15	20317576	20317697	19456
15	20327303	20327422	97133
15	20328098	20328220	101928
15	20359830	20359971	63447
15	20362642	20363158	300837
15	20363337	20363458	66470
15	20364243	20364469	80316
15	20365384	20365484	48374
15	20365903	20366079	49935
15	20370385	20370486	15236
15	20433869	20434130	71711
15	20444654	20444852	76737
15	20445948	20446095	24543
15	20448087	20448211	22155
15	20450132	20450459	91225
15	20453917	20454097	29363
15	20456629	20456786	54346
15	20457168	20457383	68968
15	20462537	20462704	25393
15	20467084	20467184	22478
15	20487542	20487643	5595
15	20488739	20488950	49077
15	20489316	20489495	44506
15	20490497	20490598	67581
15	20495253	20495466	133762
15	20496591	20496691	17091
15	20535838	20535960	86331
15	20536637	20536759	60029
15	20588525	20588766	20510
15	20613905	20614005	6264
15	20635426	20635527	21686
15	20636295	20636536	69165
15	20641052	20641293	92750
15	20642494	20642735	89986
15	20643835	20644115	117447
15	20644156	20644397	91375
15	20644713	20644954	114055
15	20645689	20645931	140256
15	20648561	20648819	82699
15	20649454	20649696	139964
15	20651084	20651325	98842
15	20657595	20657836	116269
15	20658558	20658799	66435
15	20658822	20659298	168623
15	20659738	20659965	133861
15	20662534	20662775	188360
15	20662788	20663266	302519
15	20663471	20663713	154164
15	20666398	20666639	90368
15	20667550	20667707	41297
15	20668017	20668254	136482
15	20669289	20669389	45396
15	20671447	20671623	78311
15	20682123	20682244	64783
15	20688591	20688772	64319
15	20710618	20710739	41894
15	20721603	20721704	9397
15	20723881	20724108	62345
15	20724244	20724345	37757
15	20725690	20725863	49613
15	20733077	20733178	38532
15	20737959	20738401	314116
15	20738767	20738888	53144
15	20739389	20741038	1328542
15	20741571	20741812	125521
15	20742061	20742183	37367
15	20743461	20743703	164144
15	20743717	20743838	67880
15	20743877	20743999	79908
15	20744993	20745235	127622
15	20746765	20747132	159819
15	20767760	20767881	114320
